experiment,env,seed,budget,model,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate,rollout_rmse,max_energy_drift
ablation,coupled_oscillator_stabilization,1,512,SympNoGraph,-32.18587087106868,4.894662312076388,0.13335300147106147,0.015308075767893548,0.5373408178068821,1.7984784085428238,0.0,0.7022069724229438,0.1701074600901193
ablation,coupled_oscillator_stabilization,1,512,GraphEuler,-32.01273989054614,4.99898451222062,0.12053150420242757,0.014439092757003657,0.00038830784950697844,1.6229084994544996,0.0,0.00023372522587911267,0.0007260472041512303
ablation,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,-31.793749893291718,5.0057784131265235,0.11629186303734736,0.015442525314192393,0.0029428637257004433,1.7241521758159555,0.0,0.001782251845115412,0.001349093167563729
ablation,spring_chain_target,1,512,DenseLinearNext,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,1.841548039838159e-06,0.4160425363694766,0.0,6.556417544600133e-06,0.0010479611227791025
ablation,spring_chain_target,1,512,DirectGraphNext,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,-0.000137925532548581,0.4158768236717054,0.0,0.00015971862346848015,0.0009803706331587521
ablation,spring_chain_target,1,512,SympNoGraph,-12.679784676578004,1.430017670616636,0.006988652188717304,0.0028850615183243786,0.06361801601860224,0.4201430346122601,0.0,0.4555237530782912,0.1694301865723666
ablation,spring_chain_target,1,512,GraphEuler,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,-0.00013818166721642675,0.41587720216905394,0.0,0.00015964007556445973,0.0009797409164318846
ablation,spring_chain_target,1,512,SG-Ham+Symp,-12.720417792403895,1.3823576277034981,0.0061457091234382285,0.002686455906681819,-0.0007686219797598722,0.4145988491876191,0.0,0.0013983581598659115,0.001933391827801338
ablation,coupled_oscillator_stabilization,2,512,DenseLinearNext,-50.86307599670737,7.394017564315437,0.19967409344074052,0.042077556090664624,4.7664878473815025e-06,1.6514769858200309,0.0,1.7510052739757534e-06,0.0008644886647111823
ablation,coupled_oscillator_stabilization,2,512,DirectGraphNext,-50.8780033822619,7.394444022724493,0.20001304977169113,0.04199355541053875,0.00021468761477668372,1.6516230979149855,0.0,0.00022655055741634114,0.000856060252964942
ablation,coupled_oscillator_stabilization,2,512,SympNoGraph,-51.16697054255051,7.4748098404652135,0.24129837172449775,0.049762186754244105,0.41530570311150355,1.5712271872108567,0.0,0.6727737536409226,0.11519257414794266
ablation,coupled_oscillator_stabilization,2,512,GraphEuler,-50.8780033822619,7.394444022724493,0.20001304977169113,0.04199355541053875,0.00021419630746362847,1.6516227619167718,0.0,0.00022652626493772942,0.0008559102507834507
ablation,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,-50.91125952535425,7.402512114897218,0.20071820597045895,0.04322203822115089,0.006655976203314928,1.6538669108411312,0.0,0.003463588172128701,0.001956276428054843
ablation,spring_chain_target,2,512,DenseLinearNext,-14.58414471890007,2.9786190259108554,0.02950695478769108,0.009989913466922419,2.3105336581045557e-06,0.41879423045884473,0.0,6.81842202460554e-06,0.0011394594344786096
ablation,spring_chain_target,2,512,DirectGraphNext,-14.577529586544605,2.9824288945769104,0.02965093884056214,0.011146834695115114,-0.00010080436700410367,0.4187323101276361,0.0,0.0001523305354273567,0.0011100247430727375
ablation,spring_chain_target,2,512,SympNoGraph,-14.634397312478528,2.9889425254032185,0.03010417968345985,0.009818323031120246,0.005742227115089167,0.3839096497142895,0.0,0.43493046965188575,0.11883096312944208
ablation,spring_chain_target,2,512,GraphEuler,-14.577529586544605,2.9824288945769104,0.02965093884056214,0.011146834695115114,-0.00010105487927651129,0.41873263565305435,0.0,0.00015214940989859567,0.0011096265045418456
ablation,spring_chain_target,2,512,SG-Ham+Symp,-14.587344965050013,2.9805910618062046,0.029778662971533698,0.009949784672750065,-0.001224993286338331,0.4161923128954561,0.0,0.002059336609810722,0.0024244323557408784
ablation,coupled_oscillator_stabilization,3,512,DenseLinearNext,-33.02793206916081,8.722793225998366,0.17887623802494088,0.069155078767486,3.2062753789752207e-06,1.3966892105391915,0.0,1.7488518801433318e-06,0.0008507960803686967
ablation,coupled_oscillator_stabilization,3,512,DirectGraphNext,-32.959243486701844,8.655682622856352,0.17676598420183773,0.06784176566650418,0.0003597568314943622,1.3968727109585108,0.0,0.00022261924146235092,0.0008387026725318431
ablation,coupled_oscillator_stabilization,3,512,SympNoGraph,-33.11370074874817,8.397007902253426,0.1921076617587754,0.056554250951433876,0.0574389440599156,1.2914210495096559,0.0,0.6761555907903408,0.12233700954276186
ablation,coupled_oscillator_stabilization,3,512,GraphEuler,-32.959243486701844,8.655682622856352,0.17676598420183773,0.06784176566650418,0.00035938731155867504,1.3968724294013046,0.0,0.0002225763389353424,0.0008386114646885791
ablation,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,-32.943987988386475,8.635748990936834,0.1750379573413036,0.06580864378969643,0.0016281975800171249,1.3969913355056027,0.0,0.0032833874479892217,0.0018010123646403343
ablation,spring_chain_target,3,512,DenseLinearNext,-8.602244216052386,2.8558048439337345,0.011212039997869842,0.009952242336760633,1.324594671577491e-06,0.35625711354569384,0.0,6.5586074462051415e-06,0.0011056867906664028
ablation,spring_chain_target,3,512,DirectGraphNext,-8.60435973586415,2.859044709684947,0.011505237407117244,0.01020281963296108,-6.811651763483084e-05,0.35607802277672124,0.0,0.0001547969026657726,0.001050806508523365
ablation,spring_chain_target,3,512,SympNoGraph,-8.583827843522238,2.8491598521148003,0.012275556491700252,0.010331111352689656,-0.00906245287572697,0.3846503037671802,0.0,0.42603446659632915,0.11122282409346887
ablation,spring_chain_target,3,512,GraphEuler,-8.60435973586415,2.859044709684947,0.011505237407117244,0.01020281963296108,-6.827064653328978e-05,0.35607857351345773,0.0,0.00015447793490425826,0.0010503601339881161
ablation,spring_chain_target,3,512,SG-Ham+Symp,-8.605244811003645,2.858886282904672,0.011409373910812405,0.010215194314392724,-0.0007562521875696948,0.3542237861692638,0.0,0.001974699308002325,0.002259240103122262
ablation,coupled_oscillator_stabilization,4,512,DenseLinearNext,-27.36419245950374,6.9527112027026385,0.14081754229684376,0.06557665354482214,3.220642193972149e-06,1.5516403585383003,0.0,1.8039713614360168e-06,0.0008928823719325776
