experiment,env,seed,horizon,model,one_step_rmse,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
nonlinear_dynamics,nonlinear_chain_stabilization,0,1,GraphEuler,0.060373529011975194,0.025486107836905466,0.005777518158187861,0.005777518158187861,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,10,GraphEuler,0.060373529011975194,0.208927681342844,0.2561552877425978,0.25299484944661743,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,25,GraphEuler,0.060373529011975194,0.33323345894133183,0.36624590239564614,0.1413343987199458,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,50,GraphEuler,0.060373529011975194,0.5435091476127748,0.46240057659865075,0.2857923820293263,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,100,GraphEuler,0.060373529011975194,1.0254648781691147,0.6349061937334537,0.5360667077105292,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,250,GraphEuler,0.060373529011975194,1.6073313348478149,1.876676315086775,1.7264036134988094,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,500,GraphEuler,0.060373529011975194,2.027667493598106,8.407692860994429,7.161159065823082,0.0
nonlinear_dynamics,nonlinear_chain_target,0,1,SG-PolyHam+Symp,2.2440094892682817e-10,1.488471799289987e-10,6.321223351905868e-05,6.321223351905868e-05,0.0
nonlinear_dynamics,nonlinear_chain_target,0,10,SG-PolyHam+Symp,2.2440094892682817e-10,1.1151525735443514e-09,0.0013698644296376824,0.0013692010061174618,0.0
nonlinear_dynamics,nonlinear_chain_target,0,25,SG-PolyHam+Symp,2.2440094892682817e-10,2.1548612965080134e-09,0.0016361451254037884,0.0012417521962032063,0.0
nonlinear_dynamics,nonlinear_chain_target,0,50,SG-PolyHam+Symp,2.2440094892682817e-10,3.2859102118075052e-09,0.0014493887003584702,0.0012110378735271786,0.0
nonlinear_dynamics,nonlinear_chain_target,0,100,SG-PolyHam+Symp,2.2440094892682817e-10,6.185809823319657e-09,0.0015061866073308855,0.0008966147035494486,0.0
nonlinear_dynamics,nonlinear_chain_target,0,250,SG-PolyHam+Symp,2.2440094892682817e-10,1.5917785829856378e-08,0.001325349809632495,0.0009119731309077996,0.0
nonlinear_dynamics,nonlinear_chain_target,0,500,SG-PolyHam+Symp,2.2440094892682817e-10,3.130585770895e-08,0.001441775617467703,0.0008771700767512472,0.0
nonlinear_dynamics,nonlinear_chain_target,0,1,DirectGraphNext,0.020890243902995282,0.008798755174446497,0.0021093207667142403,0.0021093207667142403,0.0
nonlinear_dynamics,nonlinear_chain_target,0,10,DirectGraphNext,0.020890243902995282,0.0781869535150585,0.14468120115137986,0.1438451196928584,0.0
nonlinear_dynamics,nonlinear_chain_target,0,25,DirectGraphNext,0.020890243902995282,0.12259025053622001,0.2893533092700251,0.17909725036989257,0.0
nonlinear_dynamics,nonlinear_chain_target,0,50,DirectGraphNext,0.020890243902995282,0.2071373139595785,0.3836852346742494,0.3413966218384387,0.0
nonlinear_dynamics,nonlinear_chain_target,0,100,DirectGraphNext,0.020890243902995282,0.4084350870504421,0.5465365064872698,0.5211981016069752,0.0
nonlinear_dynamics,nonlinear_chain_target,0,250,DirectGraphNext,0.020890243902995282,0.8495068079838383,1.5592540314686543,1.5293625945806937,0.0
