experiment,env,seed,horizon,model,one_step_rmse,symplecticity_defect,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
dynamics_rollout,harmonic_oscillator,0,1,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,1.9054114593283902e-08,1.8740939115278032e-05,1.8740939115278032e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,1.3743239267401636e-07,0.00017371737312541985,0.0001730170390067487,0.0
dynamics_rollout,harmonic_oscillator,0,50,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,7.613302893793454e-07,0.0005331347154402181,0.00021954117173403473,0.0
dynamics_rollout,harmonic_oscillator,0,100,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,1.4669722072948737e-06,0.0005308756574190508,0.0004137631938998072,0.0
dynamics_rollout,spring_mass_chain,0,1,SG-Ham+Symp,0.00012220416057337892,3.7014381340935995e-11,7.868999811170718e-05,5.943321203879076e-05,5.943321203879076e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,SG-Ham+Symp,0.00012220416057337892,3.7014381340935995e-11,0.0006095954942986339,0.0008863781835482962,0.0008548379443588743,0.0
dynamics_rollout,spring_mass_chain,0,50,SG-Ham+Symp,0.00012220416057337892,3.7014381340935995e-11,0.0017189320879253134,0.0018115624570221942,0.0008718458586773761,0.0
dynamics_rollout,spring_mass_chain,0,100,SG-Ham+Symp,0.00012220416057337892,3.7014381340935995e-11,0.002797980210920075,0.0016705521061427901,0.0011439335275226384,0.0
dynamics_rollout,spring_mass_chain,0,1,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,5.588328307292909e-06,2.9241124912216086e-05,2.9241124912216086e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,4.2611046844335156e-05,0.00042481139592439747,0.0004091558390446079,0.0
dynamics_rollout,spring_mass_chain,0,50,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,0.00012588114361213696,0.0008737325237419461,0.00043401371467804967,0.0
dynamics_rollout,spring_mass_chain,0,100,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,0.00021256474262173705,0.0008024939225876943,0.0005480808843105807,0.0
dynamics_rollout,spring_mass_chain,0,1,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,5.588301623211472e-06,2.9239807966707366e-05,2.9239807966707366e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,4.260899027089075e-05,0.0004247788632041996,0.00040912175599846,0.0
dynamics_rollout,spring_mass_chain,0,50,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,0.000125868906301367,0.0008736277338398975,0.0004338326066176204,0.0
dynamics_rollout,spring_mass_chain,0,100,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,0.00021253893565722072,0.0008023069994471467,0.0005478222708432268,0.0
dynamics_rollout,spring_mass_chain,0,1,SympNoGraph,0.024890884226976696,2.6232581623792225e-11,0.01741993866770336,0.005818646017498007,0.005818646017498007,0.0
dynamics_rollout,spring_mass_chain,0,10,SympNoGraph,0.024890884226976696,2.6232581623792225e-11,0.13527310104079035,0.06635101826383565,0.06525135944226965,0.0
dynamics_rollout,spring_mass_chain,0,50,SympNoGraph,0.024890884226976696,2.6232581623792225e-11,0.3705350776786271,0.12768807893062842,0.022954347665342583,0.0
dynamics_rollout,spring_mass_chain,0,100,SympNoGraph,0.024890884226976696,2.6232581623792225e-11,0.6224148730025089,0.1196435907648899,0.03148942405724594,0.0
dynamics_rollout,spring_mass_chain,0,1,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,1.9441239869362223e-08,2.8583929652492226e-05,2.8583929652492226e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,1.6811382301529052e-07,0.00042317770339372576,0.0004077981043520157,0.0
dynamics_rollout,spring_mass_chain,0,50,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,9.122688054461876e-07,0.0008505054307724223,0.0004333564600124161,0.0
dynamics_rollout,spring_mass_chain,0,100,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,1.6070659194117721e-06,0.0007943721468548315,0.0005508057846833245,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,SG-Ham+Symp,0.0001387876292324093,3.698181654343117e-11,8.943144450686978e-05,6.244605088412561e-05,6.244605088412561e-05,0.0
dynamics_rollout,oscillator_graph_cycle,0,10,SG-Ham+Symp,0.0001387876292324093,3.698181654343117e-11,0.0006714005630447049,0.0009464488569796547,0.0009207018853540174,0.0
dynamics_rollout,oscillator_graph_cycle,0,50,SG-Ham+Symp,0.0001387876292324093,3.698181654343117e-11,0.0020388417339574447,0.002085669478344204,0.0011281369456535787,0.0
dynamics_rollout,oscillator_graph_cycle,0,100,SG-Ham+Symp,0.0001387876292324093,3.698181654343117e-11,0.0031720431675800096,0.001872983739179353,0.0012299344969104093,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,DirectGraphNext,1.985771833393227e-05,2.4450390639284576e-06,5.974806809659273e-06,3.0184914513586543e-05,3.0184914513586543e-05,0.0
dynamics_rollout,oscillator_graph_cycle,0,10,DirectGraphNext,1.985771833393227e-05,2.4450390639284576e-06,4.420298292728247e-05,0.00044437844822677177,0.0004329336888001342,0.0
dynamics_rollout,oscillator_graph_cycle,0,50,DirectGraphNext,1.985771833393227e-05,2.4450390639284576e-06,0.00013096628551365503,0.0009893683618483098,0.0005458861847368804,0.0
dynamics_rollout,oscillator_graph_cycle,0,100,DirectGraphNext,1.985771833393227e-05,2.4450390639284576e-06,0.000209357067153088,0.0008834627225216772,0.0005872008792029638,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,GraphEuler,1.9857832699726846e-05,2.4233376775253683e-06,5.974888101718695e-06,3.0183185638429927e-05,3.0183185638429927e-05,0.0
dynamics_rollout,oscillator_graph_cycle,0,10,GraphEuler,1.9857832699726846e-05,2.4233376775253683e-06,4.4201866935417035e-05,0.0004443419023392981,0.00043289832167475213,0.0
dynamics_rollout,oscillator_graph_cycle,0,50,GraphEuler,1.9857832699726846e-05,2.4233376775253683e-06,0.0001309617470905388,0.0009892925945111538,0.0005456946479848727,0.0
dynamics_rollout,oscillator_graph_cycle,0,100,GraphEuler,1.9857832699726846e-05,2.4233376775253683e-06,0.00020934283598956731,0.0008833450572932753,0.0005868614725154424,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,SympNoGraph,0.025541666600892222,2.5165205572336916e-11,0.01772655584623713,0.005517017013255569,0.005517017013255569,0.0
dynamics_rollout,oscillator_graph_cycle,0,10,SympNoGraph,0.025541666600892222,2.5165205572336916e-11,0.1347750538942302,0.06067891243607795,0.059395315819181636,0.0
dynamics_rollout,oscillator_graph_cycle,0,50,SympNoGraph,0.025541666600892222,2.5165205572336916e-11,0.3835631469038785,0.11812667947681428,0.03127008989292754,0.0
dynamics_rollout,oscillator_graph_cycle,0,100,SympNoGraph,0.025541666600892222,2.5165205572336916e-11,0.6256585459174709,0.11867713891626681,0.04839245246241159,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,DenseLinearNext,2.6269203173298018e-08,2.554058273803353e-07,1.9428377143422988e-08,2.918435928454553e-05,2.918435928454553e-05,0.0
