experiment,env,seed,budget,model,one_step_rmse,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
matched_planner,spring_chain_target,2,128,SG-Ham+Symp,7.241986761773565e-10,-8.916753637399816,2.1076098501490543,0.03267704876924358,0.031692848648364386,-5.86456846048596e-09,0.5014280567253984,0.0
matched_planner,spring_chain_target,2,128,DirectGraphNext,1.8076728310778566e-05,-8.920641180888216,2.1111644265552476,0.03319506547431155,0.03189855813865735,-7.801233741259554e-05,0.5012439714253857,0.0
matched_planner,spring_chain_target,2,256,SG-Ham+Symp,3.5326167283111785e-10,-8.708148416266965,1.706793809878591,0.02069109648797782,0.015156881236064923,-3.264945943233973e-09,0.38791438199450895,0.0
matched_planner,spring_chain_target,2,256,DirectGraphNext,1.8040663543318453e-05,-8.710135454460639,1.707842027685176,0.020721072508147982,0.015128708972672138,-8.102266607405244e-05,0.38780870009382395,0.0
matched_planner,spring_chain_target,2,512,SG-Ham+Symp,1.7724128007748037e-10,-10.665496038622406,2.3404296037407377,0.007731700548904635,0.0019862922276051007,-1.7828101217531866e-09,0.3574974082955344,0.0
matched_planner,spring_chain_target,2,512,DirectGraphNext,1.8012702901361054e-05,-10.663604721734032,2.3402631382700108,0.007469674050561238,0.0019524335164380897,-8.059442402593338e-05,0.35749275540543796,0.0
matched_planner,spring_chain_target,2,1024,SG-Ham+Symp,8.914964205810902e-11,-11.525640876179693,3.604549626784589,0.03984283902469232,0.03000599947553484,-1.1165239843791142e-09,0.36241161009960887,0.0
matched_planner,spring_chain_target,2,1024,DirectGraphNext,1.8018825902694968e-05,-11.559441845045038,3.6067339360926445,0.040045911215013656,0.029027644855525475,-9.9451414925437e-05,0.36227278816154,0.0
matched_planner,coupled_oscillator_stabilization,3,64,SG-Ham+Symp,1.025329480856809e-09,-38.063586336480995,6.800729117005028,0.18260986493971576,0.037627474276239685,4.278997008574e-09,1.4163404124626073,0.0
matched_planner,coupled_oscillator_stabilization,3,64,DirectGraphNext,1.9425569169377442e-05,-37.921869779030565,6.683398692158145,0.18032632032289694,0.037131843849285466,-1.958651763237877e-05,1.4162850051885931,0.0
matched_planner,coupled_oscillator_stabilization,3,128,SG-Ham+Symp,4.984011015645453e-10,-31.202733513951966,7.357446348560833,0.13293018958897504,0.023604136686235275,-6.24170359841969e-09,1.5180293267680296,0.0
matched_planner,coupled_oscillator_stabilization,3,128,DirectGraphNext,1.9506849972797555e-05,-31.202733513951966,7.357446348560832,0.13293018958897504,0.02360413668623527,0.00030541892738226534,1.5181949203787308,0.0
matched_planner,coupled_oscillator_stabilization,3,256,SG-Ham+Symp,2.659239156732911e-10,-38.54176296821408,4.466758289512973,0.16681412418272065,0.025302648810986487,-5.551255455316095e-09,1.7928007486421977,0.0
matched_planner,coupled_oscillator_stabilization,3,256,DirectGraphNext,1.954696098519806e-05,-38.55683029212144,4.424153445209701,0.1702199444362357,0.026632635594993,0.0004862818181615343,1.793091951290523,0.0
matched_planner,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,1.3169565085283531e-10,-25.29026784199509,4.859319156637427,0.09732037416443846,0.025062187559942814,-8.06430774010399e-10,1.4533569753823723,0.0
matched_planner,coupled_oscillator_stabilization,3,512,DirectGraphNext,1.949665872882553e-05,-25.300828143878622,4.858976134437399,0.09522253954488362,0.025601747280994753,2.5842984783253087e-06,1.4533716645387866,0.0
matched_planner,coupled_oscillator_stabilization,3,1024,SG-Ham+Symp,6.606438022352727e-11,-31.65939483510144,4.783118442523267,0.171148046167136,0.03861829859228284,-2.3329220037264045e-09,1.7626925911698343,0.0
matched_planner,coupled_oscillator_stabilization,3,1024,DirectGraphNext,1.9473824826089965e-05,-31.65382193198856,4.783183171512247,0.1718105624215441,0.03858972655325194,0.00024564706836116557,1.7628424217646133,0.0
matched_planner,spring_chain_target,3,64,SG-Ham+Symp,1.4896441022506095e-09,-9.213163379126119,1.9681119434973742,0.018308454006314378,0.011307992632902312,-1.4367276923721306e-08,0.3934012293294355,0.0
matched_planner,spring_chain_target,3,64,DirectGraphNext,1.8753542720871815e-05,-9.2175424706606,1.9676997946917698,0.01837682459362432,0.011260900045453982,-8.706643136628205e-05,0.3932650587694035,0.0
matched_planner,spring_chain_target,3,128,SG-Ham+Symp,7.506263810938259e-10,-9.237445321814464,1.5239294614392087,0.020112688680161774,0.013650052392781279,-6.3204125636910175e-09,0.28067095278669757,0.0
matched_planner,spring_chain_target,3,128,DirectGraphNext,1.879301712845208e-05,-9.237451878557723,1.5239045688743083,0.020113983699954634,0.013649689592817342,-9.15149897816973e-05,0.2805313651918892,0.0
matched_planner,spring_chain_target,3,256,SG-Ham+Symp,3.8903160668539975e-10,-10.681589883840525,1.1475908888549535,0.010865174879471922,0.004269902629901106,-3.421879076389208e-09,0.5043668204883528,0.0
matched_planner,spring_chain_target,3,256,DirectGraphNext,1.8701255138565354e-05,-10.682842792082644,1.1472128168458158,0.010786635936374661,0.0042525916847509955,-7.937888878073451e-05,0.5041344721436944,0.0
matched_planner,spring_chain_target,3,512,SG-Ham+Symp,1.862811068308627e-10,-9.66096648017559,1.3387817656415997,0.0029673082431835984,0.0008732619607202676,-1.7270824030172587e-09,0.3501240615058308,0.0
matched_planner,spring_chain_target,3,512,DirectGraphNext,1.871094216151735e-05,-9.682095742200643,1.3569656180128624,0.0037050581763280826,0.0013908482928096377,-9.99096884100048e-05,0.349994839304906,0.0
matched_planner,spring_chain_target,3,1024,SG-Ham+Symp,9.303151458766596e-11,-8.545805661324685,0.7575218896668249,0.008389156887251314,0.0031522983391499408,-8.110498939117861e-10,0.28287449287086636,0.0
matched_planner,spring_chain_target,3,1024,DirectGraphNext,1.872287740786717e-05,-8.54426651329028,0.7581828893357079,0.00821022214755295,0.0032217698198687564,-9.236738654309444e-05,0.2827534610519891,0.0
matched_planner,coupled_oscillator_stabilization,4,64,SG-Ham+Symp,1.216138428406335e-09,-48.29023384811694,7.8687200847973,0.22984495373906158,0.04690005656112707,-2.4861118497199186e-08,1.8030480183249862,0.0
matched_planner,coupled_oscillator_stabilization,4,64,DirectGraphNext,1.9184866810940572e-05,-48.25294480542144,7.864017321576106,0.2277609350960411,0.045795484236619395,0.0006436360788809973,1.8060140284133448,0.0
matched_planner,coupled_oscillator_stabilization,4,128,SG-Ham+Symp,5.903740489954682e-10,-30.061440349901588,4.4648604164262995,0.1550021756122377,0.0248039420981204,-1.5402607189685114e-08,1.6732806283277633,0.0
matched_planner,coupled_oscillator_stabilization,4,128,DirectGraphNext,1.9305444361832038e-05,-30.159644102661023,4.4779745463050755,0.15613399603695488,0.02494217127919061,3.1981525250005895e-05,1.6732390947555782,0.0
matched_planner,coupled_oscillator_stabilization,4,256,SG-Ham+Symp,2.825616791884155e-10,-40.82456729462337,11.008675250786405,0.18803257146371385,0.06676883346676095,-1.9297271928545947e-09,1.7338848205483959,0.0
matched_planner,coupled_oscillator_stabilization,4,256,DirectGraphNext,1.9298561178980147e-05,-40.81399928730655,11.009190293329036,0.18772657379609448,0.0669041051269109,0.00011926409659916241,1.7339161990721967,0.0
matched_planner,coupled_oscillator_stabilization,4,512,SG-Ham+Symp,1.3727234120927802e-10,-41.137147254702306,5.141040528448741,0.20255660928747163,0.036543153129990395,-2.5202965640384414e-09,1.570061760156135,0.0
matched_planner,coupled_oscillator_stabilization,4,512,DirectGraphNext,1.9305661534019e-05,-41.03865000912015,5.123713981876773,0.2000942303999338,0.03692656531645906,0.00023382099903794065,1.570224649463514,0.0
matched_planner,coupled_oscillator_stabilization,4,1024,SG-Ham+Symp,6.779794605378198e-11,-31.98648860771829,8.797984403883753,0.1762133302067691,0.05693181436495941,-1.2911254287928386e-09,1.7915065168157147,0.0
matched_planner,coupled_oscillator_stabilization,4,1024,DirectGraphNext,1.925233886494943e-05,-31.979517208838786,8.80044124108526,0.17575248665122375,0.05711185950108999,-0.0001541884102402117,1.7914008303313302,0.0
matched_planner,spring_chain_target,4,64,SG-Ham+Symp,1.5465083440944157e-09,-12.172617174440324,2.3658999625008423,0.04015139706510216,0.021040437044022826,-1.614030960735609e-08,0.576850116176583,0.0
matched_planner,spring_chain_target,4,64,DirectGraphNext,1.880167483858826e-05,-12.181783915455531,2.3697828513357093,0.04114267981213665,0.020909816975785252,-7.883222086779718e-05,0.5756950713784933,0.0
matched_planner,spring_chain_target,4,128,SG-Ham+Symp,7.359678286708757e-10,-8.297933941737659,2.037560901346006,0.011799881200012538,0.006796269156625654,-5.944499448240492e-09,0.3698669822334139,0.0
