experiment,env,seed,budget,model,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate,rollout_rmse,max_energy_drift
ablation,spring_chain_target,1,512,DenseLinearNext,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,1.841548039838159e-06,0.4160425363694766,0.0,6.556417544600133e-06,0.0010479611227791025
ablation,spring_chain_target,1,512,DirectGraphNext,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,-0.000137925532548581,0.4158768236717054,0.0,0.00015971862346848015,0.0009803706331587521
ablation,spring_chain_target,1,512,SympNoGraph,-12.69164608768044,1.4355469150021203,0.007992685407805532,0.0033195624494065375,0.06449866161735847,0.42094558427887724,0.0,0.45584955625714735,0.16992223367290576
ablation,spring_chain_target,1,512,GraphEuler,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,-0.00013818166721642675,0.41587720216905394,0.0,0.00015964007556445973,0.0009797409164318846
ablation,spring_chain_target,1,512,SG-Ham+Symp,-12.722126380914084,1.3815059044877172,0.006230450191035784,0.002651555803921238,-2.4202466697431646e-09,0.41604576071524124,0.0,5.947209944009261e-09,0.0010350006408737745
ablation,coupled_oscillator_stabilization,2,512,DenseLinearNext,-50.86307599670737,7.394017564315437,0.19967409344074052,0.042077556090664624,4.7664878473815025e-06,1.6514769858200309,0.0,1.7510052739757534e-06,0.0008644886647111823
ablation,coupled_oscillator_stabilization,2,512,DirectGraphNext,-50.8780033822619,7.394444022724493,0.20001304977169113,0.04199355541053875,0.00021468761477668372,1.6516230979149855,0.0,0.00022655055741634114,0.000856060252964942
ablation,coupled_oscillator_stabilization,2,512,SympNoGraph,-51.216392287794406,7.474994057126902,0.24148479425424582,0.049671668752243395,0.41065237705514956,1.5698158980302788,0.0,0.6727849244033293,0.11529197119823012
ablation,coupled_oscillator_stabilization,2,512,GraphEuler,-50.8780033822619,7.394444022724493,0.20001304977169113,0.04199355541053875,0.00021419630746362847,1.6516227619167718,0.0,0.00022652626493772942,0.0008559102507834507
ablation,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,-50.86307599670737,7.394017564315437,0.19967409344074052,0.042077556090664624,-8.221047546423202e-10,1.6514720157903549,0.0,3.752305822078777e-09,0.0008623173129165983
ablation,spring_chain_target,2,512,DenseLinearNext,-14.58414471890007,2.9786190259108554,0.02950695478769108,0.009989913466922419,2.3105336581045557e-06,0.41879423045884473,0.0,6.81842202460554e-06,0.0011394594344786096
ablation,spring_chain_target,2,512,DirectGraphNext,-14.577529586544605,2.9824288945769104,0.02965093884056214,0.011146834695115114,-0.00010080436700410367,0.4187323101276361,0.0,0.0001523305354273567,0.0011100247430727375
ablation,spring_chain_target,2,512,SympNoGraph,-14.602790391350297,2.975725131543035,0.029139369912684066,0.009391062699245873,0.007047248708112945,0.38574809691738204,0.0,0.43489103513883604,0.11902217812824514
ablation,spring_chain_target,2,512,GraphEuler,-14.577529586544605,2.9824288945769104,0.02965093884056214,0.011146834695115114,-0.00010105487927651129,0.41873263565305435,0.0,0.00015214940989859567,0.0011096265045418456
ablation,spring_chain_target,2,512,SG-Ham+Symp,-14.58414471890007,2.9786190259108554,0.02950695478769108,0.009989913466922419,-2.3668125237463755e-09,0.4187987157500197,0.0,4.74073028247553e-09,0.001132484757165856
ablation,coupled_oscillator_stabilization,3,512,DenseLinearNext,-33.02793206916081,8.722793225998366,0.17887623802494088,0.069155078767486,3.2062753789752207e-06,1.3966892105391915,0.0,1.7488518801433318e-06,0.0008507960803686967
ablation,coupled_oscillator_stabilization,3,512,DirectGraphNext,-32.959243486701844,8.655682622856352,0.17676598420183773,0.06784176566650418,0.0003597568314943622,1.3968727109585108,0.0,0.00022261924146235092,0.0008387026725318431
ablation,coupled_oscillator_stabilization,3,512,SympNoGraph,-33.14538648056194,8.393135990531585,0.1937154185561587,0.05610870479392577,0.05591633921592587,1.2912798959876801,0.0,0.6760441361337801,0.12228913046879994
ablation,coupled_oscillator_stabilization,3,512,GraphEuler,-32.959243486701844,8.655682622856352,0.17676598420183773,0.06784176566650418,0.00035938731155867504,1.3968724294013046,0.0,0.0002225763389353424,0.0008386114646885791
ablation,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,-33.02793206916081,8.722793225998366,0.17887623802494088,0.069155078767486,-1.443169287777361e-09,1.3966860926023255,0.0,3.8695560213482114e-09,0.0008493318554450228
ablation,spring_chain_target,3,512,DenseLinearNext,-8.602244216052386,2.8558048439337345,0.011212039997869842,0.009952242336760633,1.324594671577491e-06,0.35625711354569384,0.0,6.5586074462051415e-06,0.0011056867906664028
ablation,spring_chain_target,3,512,DirectGraphNext,-8.60435973586415,2.859044709684947,0.011505237407117244,0.01020281963296108,-6.811651763483084e-05,0.35607802277672124,0.0,0.0001547969026657726,0.001050806508523365
ablation,spring_chain_target,3,512,SympNoGraph,-8.598063237537545,2.8472528369371677,0.012384972289586479,0.010311803674478842,-0.00833033838073205,0.3864850014996242,0.0,0.42595522220965626,0.11119864912666948
ablation,spring_chain_target,3,512,GraphEuler,-8.60435973586415,2.859044709684947,0.011505237407117244,0.01020281963296108,-6.827064653328978e-05,0.35607857351345773,0.0,0.00015447793490425826,0.0010503601339881161
ablation,spring_chain_target,3,512,SG-Ham+Symp,-8.602244216052386,2.8558048439337345,0.011212039997869842,0.009952242336760633,-1.4330549339784209e-09,0.35626185424174617,0.0,4.81561499534542e-09,0.0010942914986492747
ablation,coupled_oscillator_stabilization,4,512,DenseLinearNext,-27.36419245950374,6.9527112027026385,0.14081754229684376,0.06557665354482214,3.220642193972149e-06,1.5516403585383003,0.0,1.8039713614360168e-06,0.0008928823719325776
ablation,coupled_oscillator_stabilization,4,512,DirectGraphNext,-27.366280900144037,6.942187502375495,0.14052515801391496,0.06501151851508608,-0.00015492147219497987,1.551590818765398,0.0,0.000249044058877315,0.0008672097466627183
ablation,coupled_oscillator_stabilization,4,512,SympNoGraph,-28.046757943085243,7.502519460808441,0.18078073726781171,0.09480921045724659,0.2738573855507532,1.5408767125224667,0.0,0.7160711188817361,0.14747640237593357
ablation,coupled_oscillator_stabilization,4,512,GraphEuler,-27.366280900144037,6.942187502375495,0.14052515801391496,0.06501151851508608,-0.00015537119575270708,1.551590529080287,0.0,0.0002490246750177573,0.0008671013480059884
