experiment,env,seed,budget,model,planning_horizon,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
planning_horizon,coupled_oscillator_stabilization,2,512,GraphEuler,10,-36.36090608421927,10.49399364092768,0.18215818634128803,0.0778906357731789,0.00017582745364504623,1.6833935719696742,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,GraphEuler,20,-44.17395456630706,7.865776171581716,0.28189799097556206,0.06543370891633803,0.0014644731337902783,2.883488066585494,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,GraphEuler,30,-46.62707804036643,12.872658162569856,0.35867016622902165,0.14902833696478002,0.005230066718924083,4.572991552998725,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,1,-36.988994570636365,5.740863075536487,0.3137494405881367,0.07196068487343599,-1.7528963465925548e-10,0.4167126733764401,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,5,-35.21367510762904,6.226902486468896,0.15794914325646323,0.0321638784839427,-5.274961208575254e-10,1.0132835112179641,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,10,-43.964826471188786,6.581662593360342,0.20869711549952843,0.03418699748703265,-3.5414338128703093e-09,2.164272483564164,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,20,-50.46785813685306,11.595077197061922,0.31471559422224954,0.10642598222964172,-2.451648365801399e-09,2.8323210862140855,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,SG-Ham+Symp,30,-44.29974049754952,9.117637264663585,0.369742070599787,0.11435265013714815,-2.037654785643402e-09,3.9626244232158014,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,DirectGraphNext,1,-36.98863390892629,5.740782501390788,0.3135936107075435,0.07186850076853003,-3.2861051635357796e-06,0.41669952492201895,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,DirectGraphNext,5,-35.21427364323783,6.229034468130893,0.15874171978809784,0.03231709930409687,-2.614931570388279e-06,1.0132527725211011,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,DirectGraphNext,10,-43.930807911638816,6.55974093613509,0.2092857035545034,0.03490675416126742,0.00026518147338746206,2.164367575978593,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,DirectGraphNext,20,-50.46785813685306,11.595077197061922,0.31471559422224954,0.10642598222964172,0.0016529868936612975,2.8329320582560613,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,DirectGraphNext,30,-44.219851672742,9.105339744660837,0.36701504395664447,0.11441035956261476,0.0003160792009400855,3.9629153265131882,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,GraphEuler,1,-36.98863390892629,5.740782501390788,0.3135936107075435,0.07186850076853003,-3.2962583358386865e-06,0.4166994888732649,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,GraphEuler,5,-35.21427364323783,6.229034468130893,0.15874171978809784,0.03231709930409687,-2.75598548190222e-06,1.0132525765082596,0.0
