experiment,env,seed,horizon,model,one_step_rmse,symplecticity_defect,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
dynamics_rollout,harmonic_oscillator,0,1,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,9.606199563163974e-10,1.873592007747582e-05,1.873592007747582e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,6.930502049442105e-09,0.00017361052019971025,0.00017291541653987672,0.0
dynamics_rollout,harmonic_oscillator,0,25,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,1.7758829897558617e-08,0.00044653034108869044,0.000410129823493797,0.0
dynamics_rollout,harmonic_oscillator,0,50,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,3.82642924391234e-08,0.0005323953119918174,0.00021871947279213628,0.0
dynamics_rollout,harmonic_oscillator,0,100,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,7.377727884227667e-08,0.0005273805466374092,0.0004105460072007814,0.0
dynamics_rollout,harmonic_oscillator,0,250,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,1.6506772041096739e-07,0.000524126854055396,2.530568326876478e-05,0.0
dynamics_rollout,harmonic_oscillator,0,500,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,2.7207812982294325e-07,0.0005168166408364375,4.985343820359955e-05,0.0
dynamics_rollout,harmonic_oscillator,0,1,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,5.345847548458228e-10,1.8737156777643406e-05,1.8737156777643406e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,3.1618174419930726e-09,0.0001736217261824178,0.00017292664125344176,0.0
dynamics_rollout,harmonic_oscillator,0,25,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,5.918500631987449e-09,0.0004465624163492647,0.0004101595298756518,0.0
dynamics_rollout,harmonic_oscillator,0,50,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,1.334568063811085e-08,0.0005324312513893655,0.0002187329103593181,0.0
